EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
811,25.0,24,2.0,0,9636,2004-09-10,2,80,1,Medical,Frequently,N,7,78,0,3,1074,NO,m,Y,2,3,0,,2,2,35.0,4.0,Research and Development,11499.0,4.0,Married,4,0,4,Laboratory Technician
812,40.0,20,4.0,2,24121,04/11/2013,2,80,1,Medical,Rarely,No,6,31,1,3,491,Y,m,Y,3,2,2,Recently promoted,1,0,33.0,2.0,Research & Development,6943.0,1.0,single,4,2,3,Manufacturing Director
813,2.0,13,1.0,2,10002,2010-12-12,3,80,1,Technical Degree,Frequently,No,10 km,46,2,3,451,1,FEMALE,Y,3,1,0,Top performer,5,0,50.0,4.0,Research&Development,17018.0,4.0,married,1,0,4,Research Director
814,27.0,19,2.0,8,15453,01-07-2019,3,80,1,Life Sciences,Rarely,yes,8 km,49,0,4,905,Yes,male,Y,2,2,2,Excellent team player,1,0,38.0,1.0,R&D,6301.0,2.0,MARRIED,2,2,2,Research Scientist
815,3.0,11,2.0,3,25456,17/09/2019,3,80,1,Life Sciences,non-travel,Y,1,61,3,3,675,no,m,Y,3,2,0,New hire,4,2,46.0,2.0,,11544.0,4.0,Married,3,3,3,Healthcare Representative
816,5.0,16,2.0,5,16633,09-03-2011,3,80,1,,Travel Frequently,N,3,80,0,3,876,True,MALE,Y,1,0,0,Recently promoted,2,3,23.0,3.0,Research and Development,11785.0,2.0,SINGLE,3,5,4,Research Scientist
817,21.0,17,2.0,4,19877,2010-06-11,3,80,1,Marketing,Travel_Rarely,N,1,71,0,3,732,N,M,Y,2,2,2,Transferred from other dept,1,0,nan,4.0,Research & Development,4114.0,,Single,3,1,3,Laboratory Technician
818,15.0,20,,1,14992,2016-02-11,3,80,1,Medical,Travel_Rarely,Yes,1,92,0,3,1411,False,male,Y,3,0,1,Good performer,3,0,45.0,1.0,Sales,nan,4.0,MARRIED,1,1,3,Sales Representative
819,19.0,14,1.0,2,14126,08-20-2019,2,80,1,Medical,No Travel,Yes,9,90,2,4,622,N,Female,Y,3,0,2,High potential,5,3,37.0,4.0,Saless,14216.0,1.0,S,3,2,1,Manager
820,,20,1.0,1,15090,12-25-2010,4,80,1,Life Sciences,Rarely,Yes,15,91,1,3,825,N,F,Y,2,4,1,,5,0,46.0,4.0,SALES,17729.0,4.0,M,2,1,2,Sales Executive
821,2.0,13,4.0,2,18756,08-13-2015,2,80,1,Medical,Rarely,N,26 km,32,0,3,261,NO,female,Y,2,2,2,On PIP,1,1,32.0,2.0,R&D,3340.0,3.0,Married,3,2,3,Laboratory Technician
822,8.0,18,0.0,8,23971,2023-07-23,3,80,1,Medical,Travel_Rarely,No,7,55,2,99,758,no,MALE,Y,3,3,2,,1,0,49.0,4.0,Sale,5152.0,1.0,MARRIED,2,1,5,Sales Representative
823,4.0,19,3.0,1,9071,13/01/2017,2,80,1,Medical,Frequently,NO,1,77,1,3,1305,False,F,Y,2,2,1,Transferred from other dept,2,0,57.0,3.0,Sales,7183.0,4.0,married,2,1,2,Sales Representative
824,,23,4.0,3,15749,2004-06-16,3,80,1,Medical,non-travel,N,1,37,1,3,949,N,female,Y,4,5,1,Top performer,2,1,33.0,2.0,Sales,6383.0,1.0,Divorsed,2,3,3,Sales Executive
825,1.0,11,4.0,1,21275,22/09/2012,3,80,1,Technical Degree,travel_rarely,NO,13,34,1,4,181,False,Female,Y,4,3,1,Good performer,3,2,32.0,1.0,Research&Development,9793.0,4.0,married,1,1,3,Healthcare Representative
826,3.0,21,1.0,3,13983,10/09/2013,3,80,1,Life Sciences,travel_rarely,Y,6,40,0,4,623,Y,M,Y,2,2,0,Meets expectations,1,0,50.0,3.0,Research and Development,5338.0,3.0,married,2,1,2,Laboratory Technician
827,19.0,22,3.0,1,8586,2016-01-12,3,80,1,Medical,Travel Frequently,no,7 km,71,0,3,103,no,M,Y,4,2,1,Transferred from other dept,5,0,51.0 years,1.0,Human Resourses,15077.0,4.0,MARRIED,4,1,3,Human Resources
828,22.0,20,2.0,1,26007,03/10/2011,3,80,1,Life Sciences,No Travel,No,12,70,1,3,594,0,m,Y,3,1,0,Remote worker,2,0,32.0 years,4.0,research & development,6876.0,4.0,S,2,0,4,Laboratory Technician
829,9.0,19,2.0,9,21703,2006-10-05,4,80,1,Medical,travel_rarely,No,9,48,0,3,1174,0,male,Y,3,4,0,Needs improvement,3,1,33.0,1.0,research & development,11994.0,3.0,single,3,4,4,Laboratory Technician
830,6.0,17,3.0,0,12641,23/12/2019,2,80,1,Life Sciences,Travel Rarely,N,14,77,0,3,1384,Yes,male,Y,2,3,0,Exceeded expectations,2,2,34.0,3.0,Research and Development,11903.0,4.0,Single,3,0,3,Research Director
831,12.0,11,1.0,4,5967,2015-07-21,4,80,1,Medical,travel_rarely,NO,1,82,0,3,1257,yes,m,Y,2,2,2,Remote worker,2,2,24.0,3.0,R&D,8716.0,,M,2,2,3,Laboratory Technician
832,9.0,17,5.0,9,2822,2010-07-30,3,80,1,Technical Degree,Rarely,no,11,84,4,3,1485,no,MALE,Y,4,5,0,Average,5,0,28.0,3.0,Human Resources,15624.0,4.0,Married,3,3,2,Manager
833,40.0,15,1.0,12,2221,2014-02-22,3,80,1,Medical,No Travel,N,15 km,90,0,3,667,YES,FEMALE,Y,3,2,0,Recently promoted,2,2,27.0,1.0,Research and Development,7449.0,4.0,DIVORCED,4,5,5,Research Scientist
834,2.0,20,6.0,0,8880,19/12/2004,4,80,1,Technical Degree,travel_frequently,No,2,61,0,3,1340,N,m,Y,3,3,0,Top performer,4,0,30.0,2.0,research & development,14047.0,2.0,single,1,0,2,Manufacturing Director
835,5.0,23,2.0,2,14129,30/08/2008,2,80,1,Other,Travel Rarely,no,8,75,0,3,977,0,M,Y,1,4,0,,5,0,36.0,2.0,Sales,16475.0,3.0,Single,4,2,4,Sales Representative
836,25.0,23,0.0,1,17543,07-26-2017,3,80,1,Life Sciences,Non Travel,No,3,65,1,4,1191,YES,Female,Y,4,4,0,New hire,3,2,39.0 years,3.0,Research & Development,$12354.0,3.0,DIVORCED,4,1,2,Manufacturing Director
837,,17,3.0,4,5888,2004-09-12,3,80,1,Life Sciences,Non-Travel,NO,25,47,0,4,1111,No,FEMALE,Y,3,3,0,Meets expectations,2,0,50.0,2.0,research & development,$8326.0,4.0,single,4,2,5,Laboratory Technician
838,6.0,22,4.0,5,15499,12-15-2021,3,80,1,Human Resources,Travel_Rarely,NO,1,47,4,3,1114,0,Female,Y,3,4,2,,1,0,28.0,2.0,research & development,nan,2.0,MARRIED,2,5,4,Laboratory Technician
839,1.0,19,3.0,1,12352,2021-08-04,4,80,1,Human Resources,travel_rarely,no,6,41,1,4,963,N,female,Y,2,5,1,New hire,1,0,45.0,1.0,Sales,4528.0,1.0,Married,3,0,4,Sales Representative
840,16.0,18,3.0,3,23684,21/07/2023,3,80,1,Life Sciences,travel_rarely,Yes,1,75,1,3,1266,Yes,male,Y,4,5,3,Recently promoted,1,1,35.0 years,4.0,Research&Development,6988.0,1.0,M,3,3,2,Healthcare Representative
841,8.0,16,3.0,4,21654,2014-09-11,4,80,1,Life Sciences,travel_rarely,NO,9,84,0,3,1469,No,FEMALE,Y,3,2,0,High potential,1,1,36.0,4.0,Sales,4750.0,2.0,Single,1,0,3,Sales Executive
842,14.0,12,3.0,-2,12117,02-06-2007,4,80,1,Life Sciences,Travel_Rarely,no,1,67,2,3,878,N,M,Y,2,2,0,Remote worker,1,0,43.0,4.0,R&D,3543.0,2.0,Single,3,2,3,Healthcare Representative
843,6.0,18,0.0,0,23077,2011-09-14,3,80,1,Other,Travel Rarely,no,2,31,0,3,1317,False,male,Y,3,2,0,Transferred from other dept,1,2,26.0,3.0,R&D,8265.0,3.0,S,4,0,4,Laboratory Technician
844,2.0,22,1.0,1,14772,16/12/2013,3,80,1,Life Sciences,Travel_Frequently,N,5,38,1,3,1104,YES,Male,Y,4,4,1,Excellent team player,2,2,40.0,1.0,Research&Development,$5262.0,3.0,MARRIED,4,0,1,Research Scientist
845,0.0,24,3.0,0,25950,2005-11-05,2,80,1,Medical,non-travel,YES,19,34,0,4,1369,N,M,Y,3,1,0,On PIP,2,2,38.0 years,3.0,Research and Development,6891.0,4.0,MARRIED,2,0,5,Healthcare Representative
846,8.0,14,3.0,8,5993,06-02-2017,3,80,1,Technical Degree,travel_rarely,No,1,48,8,3,413,no,MALE,Y,3,2,1,Good performer,1,1,41.0,3.0,Sales,4059.0,4.0,Single,2,0,4,Sales Executive
847,1.0,18,0.0,1,20982,2019-03-03,2,80,1,Life Sciences,travel_rarely,NO,1,68,1,3,829,0,female,Y,2,0,1,,1,0,39.0,3.0,sales,8762.0,2.0,Married,2,1,2,Sales Representative
848,2.0,17,2.0,1,3666,21/09/2013,3,80,1,Medical,travel_rarely,N,11,71,0,3,483,N,FEMALE,Y,3,3,0,Average,3,0,59.0,3.0,Research & Development,13710.0,1.0,DIVORCED,2,1,4,Research Scientist
849,5.0,14,2.0,3,18312,2021-05-09,4,80,1,Life Sciences,non-travel,no,5,46,1,3,376,False,M,Y,3,3,0,Flight risk,2,1,31.0,3.0,Research&Development,10240.0,4.0,S,3,3,3,Research Scientist
850,5.0,18,0.0,1,13273,05-22-2013,4,80,1,Technical Degree,travel_frequently,Yes,19,92,0,3,1195,1,M,Y,3,2,1,,2,2,32.0,1.0,Sale,7504.0,4.0,married,4,1,3,Sales Executive
851,3.0,21,4.0,1,16338,01-21-2016,3,80,1,Life Sciences,Rarely,no,1,75,1,3,1252,yes,F,Y,3,3,1,Top performer,2,3,31.0,1.0,Research&Development,11639.0,4.0,M,4,0,3,Research Scientist
852,1.0,21,3.0,1,6757,07/07/2013,4,80,1,Medical,Frequently,N,8,49,1,3,1481,yes,f,Y,2,2,1,Remote worker,3,0,32.0,1.0,Research&Development,11552.0,3.0,Single,4,1,3,Manufacturing Director
853,28.0,22,3.0,14,13360,09/07/2005,3,80,1,Medical,Rarely,No,2 km,99,5,3,797,no,m,Y,4,2,3,Needs improvement,2,0,31.0,2.0,H.R.,9465.0,2.0,SINGLE,3,0,4,Human Resources
854,1.0,21,1.0,0,19938,04-28-2006,3,80,1,Life Sciences,Travel_Rarely,NO,1,37,0,3,1343,N,Female,Y,3,5,0,Top performer,2,0,47.0,2.0,R&D,8269.0,3.0,M,3,0,3,Laboratory Technician
855,4.0,12,2.0,4,8115,10-01-2023,3,80,1,Life Sciences,Travel Rarely,N,9,48,0,4,1129,YES,M,Y,3,3,3,Exceeded expectations,5,0,49.0,2.0,H.R.,16925.0,,Divorsed,4,1,3,Human Resources
856,3.0,19,1.0,3,7437,2006-05-18,2,80,1,Life Sciences,travel_rarely,no,7,61,2,3,850,0,M,Y,2,2,1,Needs improvement,3,1,31.0,2.0,research & development,nan,2.0,Divorsed,4,2,4,Research Scientist
857,,16,1.0,2,24625,2017-07-23,3,80,1,Life Sciences,Rarely,yes,11,48,0,3,1082,Y,female,Y,4,6,0,Recently promoted,2,3,29.0,2.0,Sale,7685.0,3.0,Married,4,0,4,Sales Representative
858,5.0,17,4.0,5,11272,2009-02-23,3,80,1,Marketing,Travel_Rarely,no,2,53,1,3,723,No,Male,Y,3,2,1,Meets expectations,2,1,41.0,2.0,research & development,8912.0,1.0,married,3,0,1,Research Scientist
859,1.0,20,0.0,1,14126,02-11-2005,3,80,1,Marketing,Travel Rarely,Yes,4,53,0,3,327,NO,Male,Y,2,3,1,Top performer,1,1,32.0,2.0,Research and Development,5550.0,3.0,married,4,1,4,Laboratory Technician
860,0.0,11,3.0,0,18471,14/08/2014,4,80,1,Medical,travel_rarely,yes,4,85,0,3,116,1,FEMALE,Y,4,3,0,New hire,2,1,42.0,3.0,Research&Development,7952.0,3.0,M,3,0,3,Healthcare Representative
861,12.0,13,2.0,1,9115,10-29-2023,2,80,1,Medical,travel_rarely,No,29,47,1,3,111,NO,F,Y,2,2,0,Needs improvement,5,0,38.0,4.0,research & development,19264.0,3.0,Married,4,1,2,Manufacturing Director
862,12.0,24,3.0,1,4703,2014-08-15,4,80,1,Medical,Travel Rarely,no,2,41,0,3,791,N,male,Y,3,3,0,New hire,2,2,23.0,4.0,Research and Development,3549.0,3.0,Single,4,1,2,Healthcare Representative
863,,20,3.0,0,13151,2023-05-01,3,80,1,Marketing,Travel Rarely,YES,2,70,0,4,169,0,MALE,Y,3,2,0,Average,4,1,50.0,4.0,Research&Development,14764.0,3.0,married,2,0,3,Research Scientist
864,1.0,15,2.0,1,20802,07-10-2015,4,80,1,Medical,Travel Rarely,no,3,77,0,4,207,False,m,Y,4,3,1,Remote worker,2,0,53.0,3.0,Research&Development,9076.0,4.0,MARRIED,4,1,4,Research Scientist
865,4.0,22,3.0,3,6147,04-12-2012,3,80,1,Life Sciences,Travel_Rarely,NO,6,93,3,3,300,Y,F,Y,2,2,0,,5,1,31.0,3.0,Sales,18720.0,3.0,MARRIED,2,0,3,Sales Representative
866,8.0,17,,6,3747,2010-06-19,2,80,1,Life Sciences,Rarely,no,2,45,0,3,1175,yes,Male,Y,3,3,1,Exceeded expectations,2,1,33.0,1.0,Research&Development,7902.0,4.0,D,4,4,4,Manufacturing Director
867,12.0,11,2.0,1,10232,02-05-2020,4,80,1,Medical,travel_frequently,No,19,52,1,3,728,No,M,Y,3,3,1,Good performer,1,0,39.0,4.0,Research & Development,5311.0,2.0,S,3,0,1,Laboratory Technician
868,0.0,19,1.0,0,17151,2014-04-11,3,80,1,Medical,Rarely,NO,2,68,0,3,1382,No,F,Y,2,3,0,Average,2,0,40.0,4.0,R&D,9478.0,3.0,single,4,0,3,Manufacturing Director
869,8.0,15,2.0,1,12330,2015-02-21,3,80,1,Medical,Travel Rarely,N,18,62,0,4,1387,no,m,Y,4,4,1,High potential,1,0,42.0,4.0,R&D,7236.0,1.0,Single,1,1,5,Laboratory Technician
870,3.0,23,1.0,3,18422,2009-06-19,4,80,1,Life Sciences,non-travel,No,1,53,2,3,1005,NO,male,Y,4,0,3,Exceeded expectations,1,0,55.0 years,,Research and Development,4549.0,1.0,MARRIED,1,1,4,Research Scientist
871,9.0,22,1.0,1,13276,10-06-2022,2,80,1,Medical,travel_rarely,Y,8,90,0,3,402,NO,male,Y,4,1,1,New hire,3,0,35.0 years,3.0,Research & Development,11400.0,2.0,MARRIED,4,0,2,Manufacturing Director
872,10.0,13,1.0,10,25427,17/12/2010,3,80,1,Life Sciences,Rarely,No,19,84,5,3,1036,False,female,Y,4,2,4,Remote worker,1,1,29.0,1.0,sales,7517.0,3.0,MARRIED,3,2,3,Sales Representative
873,24.0,17,4.0,2,20535,2009-08-25,2,80,1,Life Sciences,Rarely,NO,1,90,0,3,675,True,MALE,Y,3,6,0,Good performer,3,1,24.0,4.0,R&D,7813.0,,MARRIED,4,2,2,Laboratory Technician
874,5.0,20,1.0,5,5937,2007-08-04,4,80,1,Medical,travel_rarely,Y,27,69,5,3,654,Y,male,Y,3,4,1,Top performer,1,1,30.0,2.0,R&D,nan,4.0,married,4,5,3,Healthcare Representative
875,7.0,18,2.0,2,8886,13/10/2016,1,80,1,Life Sciences,Travel_Rarely,N,4,87,2,3,224,No,FEMALE,Y,3,5,2,,1,3,36.0,3.0,Saless,7198.0,4.0,MARRIED,3,2,4,Sales Executive
876,3.0,20,3.0,0,12282,2014-02-09,2,80,1,Medical,Travel Rarely,YES,23,30,0,3,1393,False,m,Y,3,2,0,Exceeded expectations,5,1,53.0,2.0,Sales,18638.0,2.0,Married,4,0,4,Sales Executive
877,3.0,20,0.0,3,2208,12-30-2007,2,80,1,Life Sciences,Rarely,No,9,54,2,3,958,False,M,Y,3,3,3,Needs improvement,2,1,32.0,4.0,R&D,8783.0,4.0,MARRIED,1,3,2,Healthcare Representative
878,0.0,13,1.0,0,2599,2012-08-11,4,80,1,Medical,non-travel,Y,2,82,0,3,844,NO,MALE,Y,3,3,0,Recently promoted,2,2,39.0,2.0,,7327.0,3.0,D,3,0,4,Sales Representative
879,3.0,17,1.0,3,5709,12-24-2010,3,80,1,Medical,Frequently,N,1,90,0,3,579,N,m,Y,3,3,0,New hire,2,1,36.0,4.0,Research & Development,$6677.0,4.0,Single,3,1,3,Laboratory Technician
880,0.0,17,0.0,0,26110,01-04-2005,3,80,1,Life Sciences,travel_rarely,NO,2 km,75,0,3,231,no,MALE,Y,3,3,0,Needs improvement,2,0,47.0,3.0,Sale,7113.0,3.0,SINGLE,4,0,3,Sales Executive
881,33.0,14,1.0,0,18597,01-31-2018,2,80,1,Life Sciences,Travel_Rarely,No,1,89,0,3,1125,Y,m,Y,4,2,0,Transferred from other dept,4,0,59.0,3.0,research & development,$16322.0,1.0,married,4,0,3,Research Scientist
882,9.0,20,4.0,4,7723,05-09-2020,3,80,1,Technical Degree,Rarely,no,1,80,3,3,214,False,male,Y,4,3,0,Key talent,3,1,32.0,2.0,Saless,10057.0,3.0,divorced,2,4,3,Sales Representative
883,1.0,19,2.0,1,16004,2019-05-08,3,80,1,Medical,travel_rarely,Yes,1,77,1,3,580,False,male,Y,2,4,0,High potential,2,1,32.0,4.0,Human Resourses,8152.0,3.0,MARRIED,4,0,3,Human Resources
884,1.0,11,2.0,1,24936,06/05/2023,3,80,1,Medical,Rarely,NO,4,69,1,4,1080,no,f,Y,3,2,1,Excellent team player,4,3,46.0,4.0,Research and Development,12869.0,4.0,S,4,1,3,Healthcare Representative
885,4.0,11,2.0,4,11768,10-25-2009,3,80,1,Life Sciences,travel_frequently,Y,12,36,3,3,1124,Yes,Female,Y,3,5,4,Recently promoted,1,1,43.0,3.0,Research & Development,6264.0,2.0,married,3,2,3,Research Director
886,,15,2.0,0,12316,2020-06-27,3,80,1,Medical,Travel Rarely,N,1,48,0,3,430,No,f,Y,2,3,0,On PIP,2,2,53.0,,R&D,7191.0,3.0,Married,4,0,2,Healthcare Representative
887,3.0,23,1.0,0,24622,19/01/2008,4,80,1,Medical,travel_frequently,YES,1,44,0,3,1041,NO,FEMALE,Y,4,3,0,On PIP,5,0,42.0,1.0,Research and Development,16853.0,,S,3,0,4,Laboratory Technician
888,6.0,13,2.0,6,26844,25/02/2022,2,80,1,Medical,travel_rarely,No,8,99,6,3,1054,N,m,Y,1,3,1,Meets expectations,2,1,33.0,2.0,Research and Development,5474.0,3.0,married,4,2,3,Manufacturing Director
889,24.0,20,0.0,8,20792,05-09-2023,3,80,1,Medical,travel_frequently,N,1,90,2,3,867,No,F,Y,3,3,0,Remote worker,3,3,42.0,3.0,research & development,8579.0,4.0,D,3,0,2,Laboratory Technician
890,8.0,23,2.0,8,9972,12-28-2020,3,80,1,Life Sciences,travel_rarely,no,1 km,85,0,3,490,0,Male,Y,4,2,1,Average,3,0,46.0,4.0,Research & Development,11011.0,4.0,married,2,6,4,Research Scientist
891,7.0,19,2.0,4,23162,09/09/2009,3,80,1,Life Sciences,Travel Rarely,NO,1 km,39,1,3,933,False,f,Y,3,3,1,New hire,3,0,nan,3.0,,9012.0,4.0,married,3,1,5,Research Scientist
892,16.0,15,4.0,9,19206,2015-11-21,3,80,1,Marketing,Travel_Rarely,No,20,75,2,4,242,NO,Female,Y,3,1,1,Top performer,4,0,41.0,3.0,R&D,$17157.0,1.0,M,2,5,5,Laboratory Technician
893,0.0,17,2.0,0,24484,04-14-2009,3,80,1,Human Resources,Travel Rarely,No,13,86,0,3,427,0,Female,Y,4,6,0,Key talent,1,2,46.0,,Research and Development,1907.0,2.0,SINGLE,3,0,3,Healthcare Representative
894,2.0,11,2.0,2,20979,2017-04-05,4,80,1,Life Sciences,Travel_Frequently,no,3,64,2,3,727,N,f,Y,4,2,1,,1,0,nan,4.0,Research&Development,$3799.0,1.0,Divorsed,2,2,2,Research Scientist
895,6.0,12,3.0,6,26501,2005-01-25,3,80,1,Medical,Travel_Rarely,Y,8,32,6,3,476,1,m,Y,4,2,0,Top performer,2,1,49.0,3.0,sales,$8025.0,2.0,MARRIED,2,2,3,Sales Executive
896,12.0,21,6.0,0,17546,06-05-2006,3,80,1,Life Sciences,No Travel,No,6,95,0,4,189,N,male,Y,3,5,0,Needs improvement,3,0,42.0,3.0,research & development,10452.0,3.0,M,4,0,2,Research Director
897,6.0,22,2.0,5,22337,06-10-2015,4,80,1,Life Sciences,Frequently,no,9,82,0,3,907,YES,m,Y,3,2,2,Excellent team player,1,0,35.0,4.0,Research & Development,3343.0,3.0,married,3,0,5,Research Scientist
898,1.0,14,1.0,1,22215,2009-02-18,3,80,1,Life Sciences,Travel_Rarely,yes,9,81,0,4,1120,False,m,Y,4,2,1,,1,3,38.0,3.0,Saless,3563.0,,married,4,0,2,Sales Representative
899,26.0,19,3.0,0,12291,01-22-2022,3,80,1,Life Sciences,No Travel,no,7,82,0,3,1165,False,male,Y,2,4,0,New hire,1,0,47.0,3.0,sales,$3514.0,3.0,married,3,0,2,Sales Executive
900,3.0,15,3.0,3,22967,2009-11-06,4,80,1,Medical,travel_rarely,NO,2,83,1,3,1158,Y,female,Y,4,2,2,Needs improvement,5,0,29.0,4.0,R&D,16569.0,3.0,single,3,1,3,Research Scientist
901,15.0,15,2.0,1,13794,12-04-2010,4,80,1,,Travel Rarely,NO,1,76,1,4,1111,False,F,Y,4,1,0,On PIP,3,0,40.0,4.0,,13927.0,3.0,divorced,3,0,3,Manager
902,22.0,19,1.0,8,13659,07/06/2021,4,80,1,Life Sciences,Travel_Frequently,No,4,32,1,3,652,Yes,m,Y,3,2,1,Recently promoted,2,1,33.0,4.0,Research and Development,8116.0,2.0,DIVORCED,4,0,4,Research Scientist
903,,18,4.0,4,24619,2010-07-22,3,80,1,Life Sciences,None,No,17,94,2,3,223,NO,FEMALE,Y,1,4,2,Transferred from other dept,1,0,37.0,1.0,sales,6774.0,3.0,married,2,2,3,Sales Representative
904,,12,1.0,13,9983,2020-09-27,3,80,1,Marketing,Rarely,Yes,6,44,0,3,156,0,Female,Y,1,2,2,,2,1,48.0 years,3.0,Research & Development,8760.0,1.0,D,3,0,2,Research Scientist
905,12.0,17,2.0,6,8500,2019-11-14,4,80,1,Life Sciences,Frequently,N,14 km,63,2,3,905,False,female,Y,2,3,1,Excellent team player,1,3,38.0,2.0,Research & Development,$6670.0,4.0,single,2,1,2,Research Scientist
906,23.0,11,4.0,2,24235,11-01-2012,2,80,1,Medical,travel_rarely,N,29,79,2,3,334,0,f,Y,3,2,0,,1,0,37.0 years,2.0,R&D,nan,4.0,married,3,2,3,Research Scientist
907,2.0,20,3.0,0,3634,2005-02-12,4,80,1,Life Sciences,Travel Frequently,No,1,62,0,3,707,No,MALE,Y,3,2,0,Exceeded expectations,4,0,24.0,3.0,SALES,13543.0,4.0,MARRIED,4,0,2,Sales Executive
908,26.0,21,0.0,7,16059,30/08/2021,4,80,1,Medical,Travel Rarely,NO,9,32,0,3,491,NO,Female,Y,4,1,0,Remote worker,5,1,43.0,2.0,Research&Development,18960.0,3.0,Married,4,2,3,Research Scientist
909,0.0,21,4.0,0,6814,06/06/2023,4,80,1,Life Sciences,Rarely,YES,8,31,0,3,1069,no,f,Y,4,6,0,Transferred from other dept,1,1,42.0,3.0,Research&Development,nan,3.0,Married,3,0,3,Manufacturing Director
910,15.0,19,1.0,5,19551,01-03-2013,2,80,1,Life Sciences,travel_rarely,no,29,33,0,4,1466,0,MALE,Y,3,3,1,Good performer,1,0,56.0,,Research and Development,7643.0,3.0,married,2,0,4,Laboratory Technician
911,,13,5.0,0,6076,2022-03-17,4,80,1,Life Sciences,Rarely,No,29,45,0,3,1299,Yes,Male,Y,4,1,0,High potential,1,1,34.0 years,4.0,Sale,7225.0,2.0,SINGLE,3,0,5,Sales Executive
912,1.0,23,2.0,1,10390,2014-07-03,3,80,1,Life Sciences,Travel_Rarely,N,9,83,0,3,151,no,FEMALE,Y,3,2,0,Average,2,3,38.0,2.0,Sales,7296.0,3.0,married,4,1,4,Sales Executive
913,0.0,12,3.0,0,25342,20/11/2016,3,80,1,Medical,Travel Rarely,no,2,62,0,3,588,NO,male,Y,2,2,0,Excellent team player,1,0,39.0 years,2.0,research & development,4245.0,4.0,Single,1,0,5,Research Director
914,4.0,14,3.0,4,7442,10-22-2013,4,80,1,Medical,travel_rarely,NO,12,38,0,3,104,N,f,Y,4,3,3,Remote worker,1,1,51.0,3.0,Research and Development,3479.0,1.0,MARRIED,4,1,2,Healthcare Representative
915,4.0,14,3.0,4,24744,2019-11-21,3,80,1,Life Sciences,Rarely,No,1,86,2,3,731,False,FEMALE,Y,2,2,0,Recently promoted,1,0,36.0,,research & development,$4055.0,3.0,S,4,2,2,Manufacturing Director
916,2.0,13,0.0,0,25083,30/11/2019,2,80,1,Life Sciences,travel_rarely,YES,12,69,0,3,1332,yes,MALE,Y,4,2,0,Flight risk,3,1,39.0,2.0,Research and Development,9151.0,4.0,S,1,0,3,Healthcare Representative
917,2.0,12,3.0,2,5505,06/10/2009,3,80,1,Medical,Travel_Rarely,no,19,81,0,3,316,NO,m,Y,3,4,2,Average,3,0,42.0,4.0,,11643.0,,MARRIED,3,2,4,Sales Executive
918,5.0,15,0.0,5,19186,2023-03-20,2,80,1,Medical,Travel_Rarely,Yes,3,45,5,3,635,yes,Female,Y,3,2,1,Exceeded expectations,2,1,38.0,1.0,Research&Development,5815.0,3.0,M,2,5,5,Laboratory Technician
919,,14,2.0,5,26011,03-25-2016,3,80,1,Human Resources,Travel Rarely,N,7,37,0,3,1465,No,m,Y,4,0,0,,2,1,32.0,3.0,Research&Development,8905.0,,DIVORCED,2,1,4,Laboratory Technician
920,5.0,15,1.0,2,2502,01-24-2013,3,80,1,Medical,travel_rarely,No,4,89,2,3,837,NO,MALE,Y,3,1,2,Key talent,4,0,nan,2.0,research & development,14942.0,3.0,married,3,2,2,Laboratory Technician
921,20.0,23,0.0,15,14756,18/06/2010,3,80,1,Medical,Rarely,N,4,65,1,3,829,NO,M,Y,4,2,0,Needs improvement,5,2,46.0,1.0,research & development,14508.0,4.0,married,2,3,5,Laboratory Technician
922,9.0,22,0.0,1,16262,14/05/2020,2,80,1,Medical,Rarely,Yes,2,32,1,3,1334,N,Male,Y,3,1,0,New hire,1,1,27.0,1.0,Research & Development,7324.0,2.0,Divorced,4,1,3,Laboratory Technician
923,0.0,22,3.0,0,24209,03-19-2018,1,80,1,Technical Degree,Frequently,Yes,11,44,0,3,1149,False,FEMALE,Y,4,2,0,Meets expectations,1,0,38.0,4.0,Research&Development,nan,4.0,married,4,0,1,Research Director
924,7.0,18,2.0,6,18141,06/08/2019,3,80,1,Marketing,Travel Rarely,No,22,52,0,4,1375,NO,M,Y,3,3,0,Flight risk,2,3,30.0,4.0,Research & Development,nan,1.0,single,4,2,3,Healthcare Representative
925,14.0,21,2.0,1,12605,2011-11-25,3,80,1,Life Sciences,Travel_Rarely,No,22,32,1,3,102,No,Female,Y,3,3,1,Remote worker,1,0,nan,4.0,research & development,3862.0,2.0,Married,3,1,1,Laboratory Technician
926,0.0,12,4.0,0,9939,06-10-2012,3,80,1,Life Sciences,Rarely,N,1,59,0,4,1125,NO,male,Y,4,3,0,Average,2,1,23.0,3.0,Research and Development,8933.0,3.0,Divorsed,1,0,3,Manufacturing Director
